City,Latitude,Longitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Pevek,69.7008,170.3133,47.71,47.71,66,0,12.03,RU
Whitehorse,60.7161,-135.0538,64.98,66.02,61,75,5.75,CA
Tilichiki,60.4667,166.1,54.61,54.61,65,78,4.38,RU
Bredasdorp,-34.5322,20.0403,42.51,42.51,83,3,3.65,ZA
Bonfim,3.0833,-59.95,78.28,78.28,80,46,4.88,BR
Ostrovnoy,68.0531,39.5131,56.1,56.1,79,87,5.35,RU
Lebu,-37.6167,-73.65,47.01,47.01,83,95,5.3,CL
Saint-Louis,16.3333,-15.0,82.04,82.04,78,100,14.99,SN
Thinadhoo,0.5333,72.9333,80.73,80.73,76,100,19.69,MV
Kapaa,22.0752,-159.319,82.94,85.98,62,0,14.97,US
Pflugerville,30.4394,-97.62,100.06,103.23,30,0,6.91,US
Atuona,-9.8,-139.0333,76.87,76.87,75,9,14.41,PF
Grindavik,63.8424,-22.4338,48.67,49.95,81,75,11.5,IS
Cape Town,-33.9258,18.4232,50.32,52.92,80,0,6.91,ZA
Punta Arenas,-53.15,-70.9167,42.91,42.91,75,75,13.8,CL
Lumberton,34.6182,-79.0086,89.73,95.31,47,62,10.65,US
Sørland,67.667,12.6934,53.46,53.46,87,98,10.49,NO
Hilo,19.7297,-155.09,82.53,84.27,63,20,12.66,US
La Grande,45.3246,-118.0877,92.25,97.02,17,72,10.04,US
Tarauacá,-8.1614,-70.7656,81.88,81.88,61,99,1.99,BR
San Rafael,-34.6177,-68.3301,54.43,54.43,32,31,5.88,AR
De Aar,-30.6497,24.0123,39.87,39.87,54,0,12.1,ZA
Swift Current,50.2834,-107.8014,85.01,85.01,42,20,4.61,CA
Helong,42.5397,128.9972,72.68,72.68,99,100,1.3,CN
Port Elizabeth,-33.918,25.5701,49.32,50.29,83,0,9.22,ZA
Nālūt,30.3333,10.85,83.01,83.01,30,1,11.97,LY
Ambulu,-8.345,113.6058,70.57,70.57,90,33,2.64,ID
Vaini,-21.2,-175.2,78.96,78.96,94,40,6.91,TO
Khatanga,71.9667,102.5,44.76,44.76,73,100,7.99,RU
Jamestown,42.097,-79.2353,77.38,78.19,48,20,8.05,US
Busselton,-33.65,115.3333,57.52,57.52,82,86,27.2,AU
Bluff,-46.6,168.3333,45.81,45.81,76,51,15.17,NZ
Khasan,42.4308,130.6434,72.0,72.0,100,100,3.8,RU
Bethel,41.3712,-73.414,80.26,83.25,59,86,6.46,US
Clyde River,70.4692,-68.5914,37.63,37.63,93,75,8.05,CA
Sitka,57.0531,-135.33,57.09,57.09,88,100,5.75,US
Rikitea,-23.1203,-134.9692,72.18,72.18,74,100,22.57,PF
Lerwick,60.1545,-1.1494,53.6,53.6,82,41,9.17,GB
Mar del Plata,-38.0023,-57.5575,55.18,56.08,85,0,10.0,AR
Taylorville,39.5489,-89.2945,80.58,81.93,69,75,11.5,US
Bengkulu,-3.8004,102.2655,75.02,75.02,88,90,4.18,ID
Mauá,-23.6678,-46.4614,57.85,62.4,87,5,3.8,BR
Taltal,-25.4,-70.4833,59.23,59.23,82,24,5.28,CL
Ushuaia,-54.8,-68.3,38.86,38.86,87,40,8.05,AR
Nanortalik,60.1432,-45.2371,47.23,47.23,91,70,7.31,GL
Puerto Ayora,-0.7393,-90.3518,72.55,75.16,87,85,5.99,EC
Hobyo,5.3505,48.5268,75.36,75.36,86,0,23.98,SO
Narsaq,60.9167,-46.05,57.42,57.42,80,84,4.09,GL
Opuwo,-18.0607,13.84,51.13,51.13,49,4,7.54,NA
Youghal,51.95,-7.8506,59.45,60.01,90,95,6.17,IE
Hong Kong,22.2855,114.1577,84.2,85.32,82,5,1.99,HK
Longyearbyen,78.2186,15.6401,49.84,49.84,76,0,11.5,SJ
Babol,36.5513,52.679,76.69,76.69,77,33,2.64,IR
Dikson,73.5069,80.5464,40.87,40.87,94,100,14.58,RU
Mataura,-46.1927,168.8643,45.48,45.48,86,24,5.75,NZ
Albany,42.6001,-73.9662,78.4,81.18,59,99,4.63,US
Flinders,-34.5833,150.8552,55.92,58.05,79,79,7.0,AU
Carnarvon,-24.8667,113.6333,69.6,69.6,57,100,10.25,AU
Şuraabad,40.8192,49.4687,78.3,78.3,68,4,6.64,AZ
Panubigan,7.4281,123.3466,79.16,79.16,82,100,5.97,PH
Mwaro Province,-3.5,29.6667,56.68,56.68,83,54,3.65,BI
Fort-Shevchenko,44.5086,50.263,80.01,80.01,63,2,10.51,KZ
