City,Latitude,Longitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Whitehorse,60.7161,-135.0538,64.98,66.02,61,75,5.75,CA
De Aar,-30.6497,24.0123,39.87,39.87,54,0,12.1,ZA
Carnarvon,-24.8667,113.6333,69.6,69.6,57,100,10.25,AU
Qaanaaq,77.484,-69.3632,46.33,46.33,60,66,1.41,GL
Esperance,-33.8667,121.9,47.07,47.07,63,0,15.01,AU
Olovyannaya,50.95,115.5667,66.47,66.47,61,44,4.9,RU
Tuktoyaktuk,69.4541,-133.0374,62.6,62.6,59,40,5.75,CA
Whitianga,-36.8333,175.7,55.94,55.94,61,3,7.27,NZ
Baiersbronn,48.5,8.3833,65.39,66.2,61,10,2.01,DE
Redcar,54.6166,-1.06,58.87,60.35,58,96,1.99,GB
Thompson,55.7435,-97.8558,64.56,64.56,63,75,0.0,CA
Saint-Augustin,51.226,-58.6502,71.35,71.35,56,85,9.17,CA
Haines Junction,60.7522,-137.5108,62.55,62.55,63,95,5.75,CA
Fort Nelson,58.8053,-122.7002,69.39,69.39,64,75,6.91,CA
Ahipara,-35.1667,173.1667,56.79,56.79,61,10,7.29,NZ
Anadyr,64.75,177.4833,57.0,57.7,62,0,8.95,RU
Hofn,64.2539,-15.2082,52.41,52.41,62,82,10.38,IS
Leningradskiy,69.3833,178.4167,50.77,50.77,63,51,6.11,RU
Lüderitz,-26.6481,15.1594,58.6,58.6,51,0,9.35,
Batemans Bay,-35.7167,150.1833,54.1,54.1,64,67,10.85,AU
Ankara,39.9199,32.8543,74.84,76.21,57,0,9.22,TR
Neuquén,-38.9516,-68.0591,53.49,53.49,62,0,0.0,AR
Khovd,48.0056,91.6419,64.85,64.85,58,100,0.98,MN
East London,-33.0153,27.9116,54.77,54.77,63,5,8.5,ZA
Chamalières,45.7756,3.0631,68.72,68.72,64,0,1.14,FR
Ibaiti,-23.8486,-50.1878,56.71,56.71,61,0,2.24,BR
Lata,40.1629,-8.3327,69.69,69.69,61,0,2.3,PT
Mount Isa,-20.7333,139.5,55.17,55.17,58,0,0.0,AU
Sobolevo,54.4299,31.8996,59.52,59.52,64,100,7.31,RU
Międzyrzecz,52.4446,15.578,68.23,68.23,59,57,4.7,PL
Seymchan,62.8833,152.4333,65.89,65.89,55,50,11.92,RU
Oranjemund,-28.55,16.4333,53.47,53.47,57,0,9.62,
Athabasca,54.7169,-113.2854,66.61,66.61,52,72,3.44,CA
Zavoronezhskoye,52.8801,40.5526,60.15,60.15,62,75,6.2,RU
Vicuña,-30.0319,-70.7081,68.77,68.77,58,81,0.78,CL
Batagay-Alyta,67.8006,130.4114,71.64,71.64,53,100,8.08,RU
